gene_id	baseMean	LFC_MLE	lfcSE	stat	pvalue	padj	LFC_apeglm	is_transgene	direction
YBL082C	1338.38671394282	-0.160306826662117	0.0686522135397762	-2.3350569252838	0.0195404471493067	0.0285667450710677	-0.157841162409638	FALSE	down_in_cellobiose
YMR100W	1692.662473739	0.152440972047383	0.0653004388282613	2.33445555317475	0.0195718808082256	0.028605784226232	0.150413424072012	FALSE	up_in_cellobiose
YLR016C	1726.70375323218	-0.163658589530038	0.0701337577118464	-2.33352090162416	0.0196208226197768	0.0286703878242112	-0.161060564259649	FALSE	down_in_cellobiose
YDR501W	631.372127933315	-0.177466665209641	0.0760724916908636	-2.33286252711182	0.0196553616804395	0.0287069856177972	-0.174168285643925	FALSE	down_in_cellobiose
YDL237W	2482.5061706556	-0.151386696268776	0.064892001667153	-2.33290224341168	0.0196532766150532	0.0287069856177972	-0.150283521480564	FALSE	down_in_cellobiose
YOL144W	1466.11221514478	0.137783052331484	0.0590884661575606	2.33180959485532	0.0197107100542179	0.0287808726238315	0.136273951037554	FALSE	up_in_cellobiose
YHR011W	657.307855153071	-0.191077114756141	0.0819590303689892	-2.33137353987583	0.0197336715197482	0.0288074451729271	-0.188003059274556	FALSE	down_in_cellobiose
YBR164C	2153.7507020984	-0.148250908277635	0.0635919866433383	-2.33128285658245	0.0197384495874042	0.0288074669654007	-0.146212886851871	FALSE	down_in_cellobiose
YKR063C	1882.77190065019	-0.149010545433928	0.0639226142613569	-2.33110843722186	0.019747642516378	0.0288139305039938	-0.14697771211888	FALSE	down_in_cellobiose
YOR272W	2801.33808358965	0.175320690769058	0.0752165664867692	2.33087867418007	0.0197597580900279	0.0288246543484055	0.172274052121545	FALSE	up_in_cellobiose
YDR256C	1445.12987496095	0.18494641188942	0.0793637780569977	2.33036299956127	0.0197869736246666	0.0288573948594125	0.181334684988742	FALSE	up_in_cellobiose
YBR111C	6544.64568013387	0.13837977644547	0.0593965869781244	2.32975973007397	0.0198188536529289	0.0288969206588511	0.136858336553262	FALSE	up_in_cellobiose
YKR078W	1348.4924333909	-0.143038757761663	0.0614063849819856	-2.32937922992252	0.01983898439833	0.0289193004678476	-0.141255839623617	FALSE	down_in_cellobiose
YKR010C	1485.80359204848	-0.138984386862008	0.0597252081241563	-2.32706408612404	0.0199618546176343	0.0290913968017957	-0.137346188580138	FALSE	down_in_cellobiose
YOR166C	1679.48512901129	0.146304776621324	0.0629138115460971	2.32547946191634	0.020046336870824	0.0292074790158381	0.14449165685789	FALSE	up_in_cellobiose
YDR292C	3383.56644054794	-0.111355289461088	0.0479605427265628	-2.32181045356299	0.02024314413024	0.029487123241737	-0.110485711468298	FALSE	down_in_cellobiose
YBL093C	6316.22611271087	0.176789526955521	0.0761852776756234	2.32052087160782	0.0203127171826183	0.0295813420468278	0.173643256544826	FALSE	up_in_cellobiose
YNL092W	541.302672706438	0.19802269699971	0.0853504081260279	2.32011423668075	0.0203346983860643	0.0296062243232828	0.193625199867947	FALSE	up_in_cellobiose
YMR106C	1143.34362193413	-0.156618808669491	0.0675455362414242	-2.31871441674098	0.0204105263004364	0.0297064100041278	-0.154815047417262	FALSE	down_in_cellobiose
YDR208W	3563.61171208344	0.121894467602076	0.0525710222550472	2.31866268475259	0.020413333329556	0.0297064100041278	0.120831964431665	FALSE	up_in_cellobiose
YNCO0022C	73.7772355814018	-0.471676007912609	0.203490858956792	-2.31792233975858	0.0204535420921465	0.0297577634287473	-0.426035718864382	FALSE	down_in_cellobiose
YLR396C	1692.77724378322	-0.140951923214728	0.0608842821842471	-2.31507900164088	0.0206086089669059	0.0299761584973176	-0.139220928593887	FALSE	down_in_cellobiose
YJL126W	960.393287977008	0.1588476463175	0.068734327205571	2.31103806170122	0.0208307526345117	0.0302919913280901	0.156514235611848	FALSE	up_in_cellobiose
YJL003W	935.594995848299	0.154104923819557	0.0666888203238928	2.3108059652443	0.0208435748779169	0.0303033511686638	0.151967462199935	FALSE	up_in_cellobiose
YDR480W	1277.69313236795	-0.153093111706836	0.0662572374724294	-2.31058700222055	0.0208556778664737	0.0303136601144996	-0.150895745959958	FALSE	down_in_cellobiose
YLR425W	2098.52665402613	0.124601529687155	0.0539520013308074	2.30948855674805	0.020916485956909	0.0303947398047539	0.123500031800036	FALSE	up_in_cellobiose
YIL027C	1609.1080599787	-0.140042157099117	0.0606463959364789	-2.30915877088223	0.0209347724796677	0.0304140052743286	-0.13836083520637	FALSE	down_in_cellobiose
YDL009C	472.959041816771	0.240641261431498	0.104256353002249	2.30816880220534	0.0209897496430426	0.0304865527956584	0.232933648786404	FALSE	up_in_cellobiose
YBR260C	1743.49775853459	-0.159695429643789	0.0692320890857026	-2.30666778588902	0.0210733474396451	0.030600625525804	-0.157224542296558	FALSE	down_in_cellobiose
