gene_id	JCYL001B	JCYL002B	JCYL003B	JCYL001D	JCYL002D	JCYL003D
YKR072C	11.4127131279897	11.5298489926458	11.6075395696976	11.9577866063259	11.9492675035878	12.0169609318649
YKR073C	6.03796525016689	5.88081552441598	6.06936704827455	6.0165771608295	6.2201282285549	6.18777232044934
YKR074W	11.0014113697376	10.9575537486619	10.9350487622465	10.9519961786702	10.7715352157696	10.8892216493759
YKR075C	10.669049531388	11.0288418783627	11.1327776849204	12.9931608539405	12.8457091880987	12.9677285952831
YKR076W	11.0354444163446	10.9707232601217	10.9969491926802	11.8468782094909	11.7042329219414	11.7274935246177
YKR077W	10.8986566124307	10.890500167448	10.771718780284	11.2286321580071	11.373939645218	11.2352454431267
YKR078W	10.4979954515712	10.5029151667458	10.4790093545658	10.3493625209418	10.4035204540932	10.3037502961626
YKR079C	10.8725354259817	10.8944545356575	10.7726383565795	11.157521120428	11.3113980425737	11.2589255347962
YKR080W	13.0811048205422	13.1072685676819	12.916169455293	12.1205465844729	12.3200766791284	12.0752838628396
YKR081C	11.0824321241882	11.1545205158202	11.2101614280377	11.4445411224275	11.3705666054326	11.5960842068968
YKR082W	11.2787622853243	11.3790262467766	11.2900411867734	11.3010133584174	11.3248224782254	11.3743043040055
YKR083C	9.04429995815016	9.09523542801658	9.12025980190177	9.30503214891433	9.24183921646236	9.47379903416287
YKR084C	11.5751555627676	11.6021518373508	11.5992703151212	11.5369208744812	11.5812294501914	11.6019155812218
YKR085C	10.6241295310434	10.6110040276279	10.6588732294628	10.9649693108702	10.8869976622677	10.8970042825296
YKR086W	11.1260435172571	11.0939094183733	11.0713274875144	11.1150886365919	11.1502619405142	11.1371657336544
YKR087C	9.55304189868273	9.62125880309766	9.66111937257035	9.63559322340003	9.62832771039085	9.78288117097247
YKR088C	11.1082452665116	11.1250942901932	11.1463214785432	10.6787769559602	10.8727622329115	10.7103658778032
YKR089C	11.5485351098962	11.5798161120668	11.4821699620647	11.7940633224891	11.7037862406713	11.7817448325843
YKR090W	11.016484918774	11.0395947760543	10.9858903377352	10.9797455933888	10.8901421039827	11.0121581732863
YKR091W	12.1660102330116	12.1354082789269	12.1857069804727	12.1007003637538	12.0366344272941	12.0813680546242
YKR092C	12.0730593340985	12.2181931118712	12.3017288954715	12.6292007143678	12.6221474960628	12.7299261680819
YKR093W	9.82936587934497	9.91660633068958	9.8766298192732	10.3960921326667	10.4404543356724	10.4625294829988
YKR094C	13.8431515499641	13.9685527818974	13.8840335823468	14.0791729574299	14.0095959380046	14.1399328391147
YKR095W	12.0094164848413	12.0003567282007	11.9552650789139	12.3720734570503	12.2989393873203	12.4263369408352
YKR095W-A	9.30545719520028	9.20124589639119	9.41943545457754	9.33533206358545	9.04983384695579	9.38062586231795
YKR096W	11.5218944173557	11.5080774605011	11.5421775988289	11.5716841414826	11.5596692203529	11.5660261574049
YKR097W	9.71135299935675	9.77790874550021	9.78479811744227	14.357521011697	14.2674651367682	14.3983596591578
YKR098C	10.6837173029489	10.8132311348742	10.7363332612628	10.8168450510838	10.6971851748083	10.782163720615
YKR099W	11.6535061635378	11.8191165696586	11.8221473797811	11.1710192344054	11.1331124043041	11.256910974579
YKR100C	11.1454959211851	11.1919521980558	11.0802679801294	11.029376237007	11.1251279437202	11.0836132006465
YKR101W	11.1769383086022	11.0852861382575	11.0608263960206	10.6364262541415	10.7007712761218	10.6129206894042
YKR102W	9.55304189868273	9.54278833766897	9.58567025596747	10.033114029671	9.90975625015168	10.0789196942874
YKR103W	9.4837180391336	9.33145693761238	9.54963485906248	9.22313542860157	9.16600258046995	9.30721755222035
YKR104W	8.15968764816761	8.05126362397877	8.27056839439607	8.00222169279663	7.91537973176867	8.09856890403527
YKR105C	11.1890839810774	11.1594583427696	11.226360913227	11.4240187779274	11.80596092007	11.3193777710967
YKR106W	10.581456346515	10.5437740574661	10.6092895172344	10.2415359031268	10.3891449287503	10.1914981853128
YLL001W	11.5030461158644	11.4225780237566	11.5050354943357	11.4519319985142	11.409984157541	11.4608589634481
YLL002W	9.95845624260485	9.92049041020066	9.84899160770247	9.81971632609911	9.62644303420336	9.5914781323049
YLL003W	11.2413425335453	11.2756912812203	11.2357272819392	11.4389730099648	11.3973326472559	11.4678428043762
YLL004W	10.6259177057825	10.6919978032173	10.8294208305066	10.5417528720631	10.5852343598073	10.5874949381878
YLL005C	10.4021212621879	10.4438756170657	10.3370274610257	10.4780189138396	10.6571382039572	10.4531750501955
YLL006W	10.0743179181298	10.0701856393192	10.0625789043398	10.0993332133756	10.1118445095651	10.0325636496971
YLL007C	9.77881877305394	9.78928232409025	9.68671832518416	9.6928719219677	9.7371247382594	9.82519803845021
YLL008W	11.6665950510779	11.8163402297613	11.7238311709004	12.1509489143279	12.1031788724746	12.2420739779577
YLL009C	10.1002781676499	9.91919687898383	10.0306445604921	10.8218454276925	10.6130958718057	10.6685411611604
YLL010C	11.1878740051096	11.2832511003703	11.3754464741801	11.3621114840226	11.2349347766015	11.3168014227069
YLL011W	11.2736386208758	11.4046679782512	11.4537855954364	11.6302688874624	11.6314143480017	11.6731377826807
YLL012W	11.446495559903	11.6663855441661	11.9278736474669	12.3564058395958	12.1422738571556	12.561149860482
YLL013C	8.89500464269435	9.06512955412779	8.81552464760509	9.67086642914454	9.58240131885269	9.70224906507435
YLL014W	11.0414859997733	11.0591026344542	11.0203650621119	11.0126052244739	10.9799477926927	11.0436613634099
YLL015W	11.2696409293675	11.2481431350039	11.2067635167263	11.4941575681847	11.4632085518579	11.5660261574049
YLL016W	10.9301140522686	10.9179557779081	10.8504776109976	11.1569559488609	11.0741981756443	11.1760645860839
YLL017W	7.26045130310834	7.1255070086395	7.17312381640086	7.34042853749226	7.19928468323979	7.23346029847224
YLL018C	13.6420381971293	13.7336442882772	13.6531338777422	13.652011682334	13.65389912037	13.6559265322184
YLL018C-A	8.52091214933355	8.60600120829055	8.6001445654136	8.88359970585317	8.84456487328967	8.80606901662679
YLL019C	12.7977500367051	12.7896701529426	12.885682950948	13.2087687856365	13.2312254004503	13.2255191882291
YLL021W	12.168159274889	12.2158248632039	12.1718330696716	12.5012465586932	12.2998263186639	12.5135717867585
YLL022C	10.8125626943326	10.8243288162257	10.7954392871917	11.3458385847974	11.1909901827061	11.3096926482345
YLL023C	11.2736386208758	11.1838970925531	11.25296225485	11.6822531949624	11.6934742133993	11.6040302504315
YLL024C	15.404297486734	15.3196667505093	15.2753482088063	15.4270125012446	15.4444090200052	15.3571099503009
YLL025W	9.37517931693815	9.54781986541028	9.45195612894764	10.9739815814503	10.4848103539721	11.0153396317685
YLL026W	13.9570849116532	13.8334791489674	13.7008924335046	15.0668790004979	15.2041961226048	14.9949765800729
YLL027W	12.0622051168157	12.0617173944667	12.0621666576528	11.9962074666239	11.8970837073652	11.950374763017
YLL028W	11.0528293018891	11.1007711199764	11.1009161403002	11.1203165080183	11.0561142862459	11.0866410734734
YLL029W	13.1211140598436	13.1076944060825	13.0931390332313	13.1112016926083	13.0978594682436	12.964234632772
YLL031C	11.2662054971497	11.3495637921184	11.4142641487458	11.144465823981	11.2087289774843	11.2888111401084
YLL032C	9.95561479214888	9.9600250294276	9.92871692279174	9.53823960442834	9.65630617814552	9.53716372835414
YLL033W	9.38154613013262	9.3450105241347	9.31217275541631	8.75794048075568	8.83806157361523	8.95277402737869
YLL034C	10.8149160371163	10.904946827739	10.841741275205	10.8812203053254	10.8168533831092	11.0436613634099
YLL035W	10.7808123174913	10.7879447224012	10.841741275205	10.2627053735274	10.390255839226	10.4484749857219
YLL036C	11.282167979762	11.3243807614167	11.3280686825072	11.1943412273029	11.2168912829221	11.1545837299904
YLL038C	9.65990789371617	9.81454956477576	9.8029181589864	9.42634635560528	9.31388433369833	9.50582946066074
YLL039C	14.7534352671025	14.6986342307535	14.8302580706836	14.7841739129821	14.831971874231	14.7396368247774
YLL040C	11.6508740750718	11.6261300478645	11.7214520202489	11.922643148782	11.7369093445615	11.9710030200178
YLL041C	11.9160497549209	11.8921266516055	11.7590554741999	14.3188861861036	14.1641863107024	14.2926097569204
YLL042C	7.99193340965157	8.0322002228911	8.05118498395464	8.83916355227151	8.91731571239387	8.63029737741894
YLL043W	12.2104812262008	12.2619565347393	12.2379095584259	12.3732903537321	12.3668149795295	12.3067950815831
YLL045C	14.9681042442983	15.1485665529829	15.085408867584	15.2399246679039	15.2018651737458	15.2987418634945
YLL046C	7.75022685536767	7.4408001005204	7.21736905008832	7.54194179362721	7.59012201081245	7.28747801784095
YLL048C	12.5060280890634	12.5853045438926	12.4764064530791	12.3783901404888	12.3127723863236	12.4823001615307
YLL049W	10.7888156668783	10.6859264346987	10.692303282158	10.625028526509	10.5764771098318	10.6594187423836
YLL050C	14.1125479514912	14.1017788518294	14.0706494079397	14.0694458678335	14.0539041137898	14.0600618015018
YLL051C	11.990110081735	12.0365910994825	12.085665209567	11.0963456941669	11.1781847269261	11.1291116543626
YLL052C	9.16979084004691	9.22238293399285	9.26588339975898	7.17932214954675	7.27879179365498	7.22240596023755
YLL053C	9.24853883877932	9.33340098393722	9.41943545457754	7.4031604938992	7.59787083676298	7.44772722411983
YLL054C	9.83556148762197	9.84484236351141	9.79750601325521	9.95462944839167	9.95250286344779	9.96505534793085
YLL055W	12.4455533614187	12.3681401153461	12.150768781812	10.5683497689745	10.875144581305	10.5140468888518
YLL056C	10.3083542582474	10.2163644136434	10.1655928330398	10.0647968398816	10.1464460153977	10.0970528216871
YLL057C	9.53221102878059	9.49148305576697	9.51487618018209	9.34131636149908	9.36677883662125	9.30981209876924
YLL058W	12.2876251005992	12.3248426553371	12.2649537750948	11.6257830368405	11.5753812704358	11.6467115662743
YLL060C	10.5851376583754	10.4330413970677	10.4424929203828	10.6597531713499	10.5429058962825	10.5605244113374
YLL061W	11.9050471959259	11.9317875458004	11.6993777527345	10.1180395999144	10.2344406943769	10.1000529681026
YLL062C	11.1348609684414	11.1747132673537	11.0456909807939	9.5860590686953	9.56479463907675	9.3278443295633
YLL063C	10.7351539862502	10.6237644616143	10.6154533592593	10.1016848231144	10.0100072374396	10.0104101422892
YLL064C	10.8351524400049	10.9750865149858	11.0149352576143	10.8507903016719	11.1123948010116	10.7557754260823
YLL066C	13.0144155464387	13.0111480075088	13.0224231076585	13.7002282384718	13.4434117222561	13.6606327039533
YLL067C	3.71400165851154	3.71400165851154	8.3268379745599	6.57156505813382	7.89039904406439	8.68731577320478
YLR001C	11.5480636718438	11.5785877968847	11.5725912009806	11.0892538291634	11.3207499886449	11.084370764866
YLR002C	10.6871469757615	10.8208699532201	10.8364739641575	11.0404495629135	11.1177698290608	11.0934306400024
YLR003C	10.4950632917561	10.4994574363373	10.5706858565391	10.7366590204399	10.8093985341509	10.7152651907354
YLR004C	15.3644894754488	15.2924547429192	15.2477150475475	11.2647521777168	11.711361076755	11.5308892896046
YLR005W	12.2608325273172	12.2382974389578	12.309986528284	11.9857433235942	11.9930639607583	11.9775422503896
YLR006C	11.497685099281	11.5264555028791	11.5077993424802	11.9309312126433	11.9037108465984	11.8726941862767
YLR007W	11.2172301259712	11.4111228378743	11.5000471847781	11.8249879112573	11.6662210932358	11.8254461174617
YLR008C	10.0964137938448	10.0131287697439	10.0260242370457	10.3660862697665	10.28070297861	10.2721797564685
YLR009W	11.4605919011981	11.6512750087966	11.7585914294733	12.1280632735323	12.128028449998	12.1441125705458
YLR010C	9.43557816376593	9.48799690693608	9.37409304012475	9.83109958589269	9.74756624121658	9.77351519708702
YLR011W	9.30098552901116	9.30792155207249	9.49940172327958	8.9187212083539	8.79841279035137	8.80238725910781
YLR013W	5.08261830983969	5.09767709213781	5.00057216924608	4.54478888541331	4.40834765227332	4.3110417331591
YLR014C	10.1839899695077	10.2132015114607	10.1444339148573	9.97785861348133	10.0013082794838	9.98629043702592
YLR015W	10.3629857378974	10.3691141844499	10.2525378950816	9.96886945462282	10.0056643170567	9.85747057882778
YLR016C	10.7848195426135	10.8264001601373	10.9473174238079	10.7621528058594	10.6149976634638	10.6945753109806
YLR017W	11.2816009220692	11.3126078761589	11.4787931788316	11.5277697456549	11.5145389583382	11.6281287310004
YLR018C	10.9488072980467	10.9327724644238	10.976343371479	11.0593232787489	11.0886406878832	11.0699085721147
YLR019W	12.2702952131355	12.2291938244948	12.2501752418785	11.9700642771455	11.937157695307	11.9034976454403
YLR020C	11.687293358772	11.786506861901	11.7655364761259	11.3363853927634	11.4483532701365	11.3637346589796
YLR021W	10.2768319146847	10.3662694252367	10.3506401306488	10.2232942885896	10.203175189692	10.2234892208127
YLR022C	10.9315606257512	11.0107403272605	10.9795327189322	10.3453991808018	10.4712262910927	10.442578286559
YLR023C	12.186146543147	12.4316505838242	12.6692104224	13.9276363822759	13.8544510511888	14.0645796871024
YLR024C	10.1421166402503	10.1351334030141	10.1344525114748	10.8060712327837	10.9410596119065	10.8299255464521
YLR025W	12.1693858630418	12.1109773009551	12.0462855867744	12.149529148758	12.1544199398818	12.0825059895304
YLR026C	11.1603777405353	11.1692835795526	11.2142283852025	11.1249476531769	11.2080991907788	11.1254357913368
YLR027C	13.8647967280481	13.847145020181	13.8751780995768	13.3126396563882	13.2509267194186	13.2830731233788
YLR028C	13.6758756186037	13.6373382381865	13.6597346049934	13.5408504553338	13.5486405522224	13.5204472863976
YLR029C	15.3022895678439	15.400236571272	15.3630888076137	15.5639770362805	15.4486472476845	15.5986181496228
YLR030W	9.64587346085184	9.68048777558336	9.72523479129374	10.1192007323402	10.2771041573324	10.180202432565
YLR031W	8.93308129554655	8.82642502391172	8.81194794702383	9.40364927657968	9.55689990066614	9.39291309514323
YLR032W	10.8474659660838	10.9082100800022	10.7936284167289	11.1777212228246	11.0906921509819	11.1187955418647
YLR033W	11.5049906475946	11.5183638275863	11.4652064458542	11.3950756040403	11.4758210219945	11.3574808527743
YLR034C	12.8969714507691	12.8042808835115	12.6645118902016	10.9784666907038	11.379543911394	10.9361393968538
YLR035C	10.5231608898507	10.4037458802389	10.4733642458588	10.0392611744471	10.1239161232397	9.99920445877072
