ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
oxidoreductase activity, acting on diphenols and related substances as donors	oxidoreductase activity, acting on diphenols and related substances as donors	9/313	9/5859	1	18.7188498402556	12.6367609265262	3.1750322214724e-12	1.08011001798391e-10	9.45257855012339e-11	YHR001W-A/YBL045C/YDR529C/YEL024W/YJL166W/YFR033C/YPR191W/YOR065W/YGR183C	9	primary_UP_GO
respiratory chain complex III	respiratory chain complex III	9/313	9/5859	1	18.7188498402556	12.6367609265262	3.1750322214724e-12	1.08011001798391e-10	9.45257855012339e-11	YHR001W-A/YBL045C/YDR529C/YEL024W/YJL166W/YFR033C/YPR191W/YOR065W/YGR183C	9	primary_UP_GO
ubiquinol-cytochrome-c reductase activity	ubiquinol-cytochrome-c reductase activity	9/313	9/5859	1	18.7188498402556	12.6367609265262	3.1750322214724e-12	1.08011001798391e-10	9.45257855012339e-11	YHR001W-A/YBL045C/YDR529C/YEL024W/YJL166W/YFR033C/YPR191W/YOR065W/YGR183C	9	primary_UP_GO
monoatomic ion transport	monoatomic ion transport	38/313	203/5859	0.187192118226601	3.50402115236312	8.62557849230893	4.31048048859036e-12	1.43922154091267e-10	1.25953416226061e-10	YDR343C/YKL217W/YHR096C/YGL187C/YBR039W/YEL069C/YJR121W/YHR001W-A/YBL099W/YBL045C/YDR529C/YEL024W/YDR536W/YJL166W/YBL030C/YGL191W/YMR256C/YFR033C/YPL036W/YNL052W/YML081C-A/YFL011W/YBR298C/YPR191W/YLR038C/YKL016C/YLR395C/YHR051W/YPL078C/YOR065W/YDR322C-A/YGR183C/YPR020W/YNR072W/YBR296C/YDL067C/YDR342C/YNL318C	38	primary_UP_GO
purine ribonucleotide biosynthetic process	purine ribonucleotide biosynthetic process	18/313	46/5859	0.391304347826087	7.32476732879567	10.2301082163992	5.59384136193819e-12	1.83376290464992e-10	1.60481688067854e-10	YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YJL026W/YDR322C-A/YDR399W/YPR020W/YKL067W	18	primary_UP_GO
mitochondrial electron transport, cytochrome c to oxygen	mitochondrial electron transport, cytochrome c to oxygen	10/313	12/5859	0.833333333333333	15.5990415335463	12.0255608454	9.88815200556705e-12	3.18363179750668e-10	2.78615410833553e-10	YGL187C/YGL191W/YMR256C/YNL052W/YLR038C/YLR395C/YHR051W/YEL039C/YDL067C/YJR048W	10	primary_UP_GO
monoatomic ion channel activity	monoatomic ion channel activity	14/313	28/5859	0.5	9.3594249201278	10.5327267224405	2.35902828095203e-11	7.4619789308009e-10	6.53034790978226e-10	YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W	14	primary_UP_GO
primary active transmembrane transporter activity	primary active transmembrane transporter activity	22/313	76/5859	0.289473684210526	5.41861442744241	9.21028832967685	2.58476686521717e-11	8.03505975514922e-10	7.03187936653454e-10	YGL187C/YBR039W/YJR121W/YHR001W-A/YBL045C/YDR529C/YEL024W/YJL166W/YGL191W/YMR256C/YFR033C/YPL036W/YNL052W/YPR191W/YLR038C/YLR395C/YHR051W/YPL078C/YOR065W/YGR183C/YDL067C/YPL147W	22	primary_UP_GO
purine ribonucleoside triphosphate metabolic process	purine ribonucleoside triphosphate metabolic process	19/313	56/5859	0.339285714285714	6.35103833865815	9.55790502320871	2.73796698838001e-11	8.36704149160874e-10	7.32241305188516e-10	YFR053C/YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YCL040W/YDR516C/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W/YKL067W	19	primary_UP_GO
ATP metabolic process	ATP metabolic process	18/313	51/5859	0.352941176470588	6.60665288479609	9.55283712703463	4.33248101104274e-11	1.30191054381834e-09	1.13936649746545e-09	YFR053C/YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YCL040W/YDR516C/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W	18	primary_UP_GO
transmembrane transporter activity	transmembrane transporter activity	54/313	395/5859	0.136708860759494	2.55903263638937	7.62176104861821	4.8400462391857e-11	1.43059071627079e-09	1.2519808994891e-09	YDR343C/YJR077C/YKL217W/YHR096C/YGL187C/YBR039W/YEL069C/YJR121W/YHR001W-A/YBL099W/YBL045C/YDR529C/YEL024W/YDR536W/YJL166W/YBL030C/YGL191W/YPL134C/YMR256C/YFR033C/YDL004W/YPL036W/YNL052W/YML081C-A/YFL011W/YDR298C/YBR298C/YDR377W/YPR191W/YGR243W/YPL271W/YLR038C/YKL016C/YLR395C/YHR051W/YBR021W/YLR295C/YPL078C/YOL077W-A/YOR065W/YDR322C-A/YGR183C/YPR020W/YNR072W/YBL042C/YBR296C/YDL067C/YNR002C/YDR342C/YKL221W/YPL147W/YNL318C/YOR348C/YPR192W	54	primary_UP_GO
purine nucleoside triphosphate metabolic process	purine nucleoside triphosphate metabolic process	19/313	58/5859	0.327586206896552	6.13203701663545	9.33059338998847	5.53701571420709e-11	1.61019989237345e-09	1.40916579891281e-09	YFR053C/YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YCL040W/YDR516C/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W/YKL067W	19	primary_UP_GO
ribonucleoside triphosphate metabolic process	ribonucleoside triphosphate metabolic process	19/313	61/5859	0.311475409836066	5.83046142565338	9.00889136937299	1.49831604144217e-10	4.28803781384164e-09	3.75267459669476e-09	YFR053C/YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YCL040W/YDR516C/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W/YKL067W	19	primary_UP_GO
respiratory chain complex IV	respiratory chain complex IV	9/313	11/5859	0.818181818181818	15.3154225965728	11.2889553028385	1.58677079220538e-10	4.4702308411661e-09	3.91212075249321e-09	YDR119W-A/YGL187C/YGL191W/YMR256C/YNL052W/YLR038C/YLR395C/YHR051W/YDL067C	9	primary_UP_GO
purine nucleotide metabolic process	purine nucleotide metabolic process	28/313	133/5859	0.210526315789474	3.94081049268539	8.14937134178631	2.00410893059125e-10	5.55908984900928e-09	4.8650352825203e-09	YFR053C/YJL116C/YBR039W/YIL155C/YJR121W/YBL099W/YGR256W/YDL004W/YML081C-A/YDR298C/YDR377W/YCL040W/YDR516C/YBR117C/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YPL061W/YJL026W/YGR043C/YDR322C-A/YDR399W/YPR020W/YGL037C/YKL067W/YOR374W	28	primary_UP_GO
channel activity	channel activity	16/313	43/5859	0.372093023255814	6.96515342893231	9.32611072340667	2.14780026818523e-10	5.77982669184772e-09	5.05821304322021e-09	YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W/YNR002C/YPR192W	16	primary_UP_GO
passive transmembrane transporter activity	passive transmembrane transporter activity	16/313	43/5859	0.372093023255814	6.96515342893231	9.32611072340667	2.14780026818523e-10	5.77982669184772e-09	5.05821304322021e-09	YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W/YNR002C/YPR192W	16	primary_UP_GO
proton-transporting two-sector ATPase complex	proton-transporting two-sector ATPase complex	14/313	32/5859	0.4375	8.18949680511182	9.68741477873935	2.28005748552694e-10	6.04550536236041e-09	5.29072162663295e-09	YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W	14	primary_UP_GO
cytochrome-c oxidase activity	cytochrome-c oxidase activity	8/313	9/5859	0.888888888888889	16.6389776357827	11.1534339587714	5.22776862721712e-10	1.34652383355321e-08	1.1784098003306e-08	YGL187C/YGL191W/YMR256C/YNL052W/YLR038C/YLR395C/YHR051W/YDL067C	8	primary_UP_GO
oxidoreductase activity, acting on a heme group of donors	oxidoreductase activity, acting on a heme group of donors	8/313	9/5859	0.888888888888889	16.6389776357827	11.1534339587714	5.22776862721712e-10	1.34652383355321e-08	1.1784098003306e-08	YGL187C/YGL191W/YMR256C/YNL052W/YLR038C/YLR395C/YHR051W/YDL067C	8	primary_UP_GO
structural constituent of cell wall	structural constituent of cell wall	15/313	40/5859	0.375	7.01956869009585	9.07461296898043	7.05584959587823e-10	1.79178828469978e-08	1.5680828086318e-08	YKL163W/YDR077W/YHR126C/YKL096W-A/YER150W/YKL096W/YFL020C/YEL049W/YOL161C/YLR037C/YLL025W/YOR394W/YMR325W/YBR301W/YGR294W	15	primary_UP_GO
purine ribonucleotide metabolic process	purine ribonucleotide metabolic process	21/313	84/5859	0.25	4.6797124600639	8.06927380205189	1.49267464555348e-09	3.73790609157352e-08	3.27122703755069e-08	YFR053C/YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YCL040W/YDR516C/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YJL026W/YDR322C-A/YDR399W/YPR020W/YKL067W	21	primary_UP_GO
nucleoside triphosphate metabolic process	nucleoside triphosphate metabolic process	19/313	69/5859	0.27536231884058	5.15446589804139	8.24626679751887	1.57605031260448e-09	3.89262837482998e-08	3.40663218254379e-08	YFR053C/YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YCL040W/YDR516C/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W/YKL067W	19	primary_UP_GO
ribonucleotide biosynthetic process	ribonucleotide biosynthetic process	18/313	62/5859	0.290322580645161	5.43450479233227	8.33865955185163	1.67407336633586e-09	4.07885713446428e-08	3.5696102078769e-08	YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YJL026W/YDR322C-A/YDR399W/YPR020W/YKL067W	18	primary_UP_GO
purine nucleotide biosynthetic process	purine nucleotide biosynthetic process	19/313	71/5859	0.267605633802817	5.00926967556136	8.07396945633106	2.67758066623082e-09	6.43690392161889e-08	5.63325392095439e-08	YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YJL026W/YDR322C-A/YDR399W/YPR020W/YGL037C/YKL067W	19	primary_UP_GO
transporter activity	transporter activity	54/313	450/5859	0.12	2.24626198083067	6.53602993179541	6.61329801677807e-09	1.56891793740143e-07	1.37303791234769e-07	YDR343C/YJR077C/YKL217W/YHR096C/YGL187C/YBR039W/YEL069C/YJR121W/YHR001W-A/YBL099W/YBL045C/YDR529C/YEL024W/YDR536W/YJL166W/YBL030C/YGL191W/YPL134C/YMR256C/YFR033C/YDL004W/YPL036W/YNL052W/YML081C-A/YFL011W/YDR298C/YBR298C/YDR377W/YPR191W/YGR243W/YPL271W/YLR038C/YKL016C/YLR395C/YHR051W/YBR021W/YLR295C/YPL078C/YOL077W-A/YOR065W/YDR322C-A/YGR183C/YPR020W/YNR072W/YBL042C/YBR296C/YDL067C/YNR002C/YDR342C/YKL221W/YPL147W/YNL318C/YOR348C/YPR192W	54	primary_UP_GO
ribose phosphate biosynthetic process	ribose phosphate biosynthetic process	18/313	68/5859	0.264705882352941	4.95498966359707	7.7925562613161	8.5915850598721e-09	2.01176985233109e-07	1.76059959053292e-07	YJL116C/YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YJL026W/YDR322C-A/YDR399W/YPR020W/YKL067W	18	primary_UP_GO
mitochondrial intermembrane space	mitochondrial intermembrane space	21/313	92/5859	0.228260869565217	4.27278094179747	7.51610425100633	8.81987230457014e-09	2.03874740578718e-07	1.78420898576932e-07	YJR077C/YGL187C/YIL155C/YJR121W/YBL099W/YAL039C/YFR033C/YNL052W/YKL150W/YLR038C/YDL085W/YOR065W/YDL174C/YCR079W/YDR155C/YIL160C/YMR145C/YEL039C/YKL067W/YHR116W/YJR048W	21	primary_UP_GO
carbohydrate metabolic process	carbohydrate metabolic process	37/313	253/5859	0.146245059288538	2.73753930470141	6.71158772688332	1.23483546700541e-08	2.81823841393766e-07	2.46638023323265e-07	YEL070W/YNR073C/YFR053C/YKR097W/YGR292W/YNR071C/YDL049C/YOR178C/YIL155C/YKL109W/YHL032C/YER054C/YGR282C/YCL040W/YDR516C/YPR184W/YFR017C/YDL085W/YGR043C/YIL024C/YMR280C/YBR105C/YJR159W/YBR299W/YEL011W/YMR105C/YMR145C/YDL246C/YPL201C/YLL026W/YHR043C/YOL157C/YIL162W/YLR070C/YNL117W/YFL053W/YLR308W	37	primary_UP_GO
